cod,desc,price,bu,line,class,type,sat_key,unit,color
1002,ecoburo combo zapatera 12 espacios 38x33x63,107.24896,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1005,ecoburo combo zapatera 8 espacios 38x33x63,96.52708,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1007,ecoburo combo p/bolsa de dama 38x33x63,77.35286,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1101,archiva extra 35x15x27,30.55208,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1201,ecoburo (3 cajones) 26x36x28,93.27734,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1205,ecojoyero vintage y turquesa 10.5x12.8x15,49.40208,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1301,caja sastre chica vintage y turquesa  35x26x10,41.59818,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1305,caja sastre mini 22.5x30.5x7,25.02526,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1306,caja sastre chica  35x26x10,30.8763,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1307,caja sastre mediana 49x42x10,54.27292,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1308,caja sastre grande 81x50x13,91.32448,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1309,caja sastre chica impresa  35x26x10,38.34844,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1310,caja sastre mediana impresa 49x42x10,61.09662,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1311,caja sastre grande impresa 81x50x13,99.12838,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1502,archivo plástico oficio 50x38x26,90.35182,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1503,archivo plástico economico 37x31x28,52.97604,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1801,lh 00 neceser 25x17x12.5,21.77552,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1802,pc archivo 80 decorada 78x40x30,96.52708,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1803,pc archivo 50 decorada 50x35x25,67.27188,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1804,pc archivo 30 decorada 38x30x25,59.79974,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1805,lh 00 neceser decorado 25x17x12.5,25.02526,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1905,ecoburo combo grande 4 cajones 38x33x63,175.17682,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
1906,ecoburo combo chico 3 cajones 38x34x49,138.44948,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
2001,correcajon mediano 18x14x10,26.32214,Comercializadora de Cartón y Diseño,hogar,de línea,caja,14121500,Pieza,kraft
